ID,name,Applied,gender,age,background in IT,education,accepted,attended,number of Hackathons,employment,satisfaction,career interests,country,new skill
113,Kyle Lawrence,Yes,F,41,No,Masters degree,No,Yes,8,Manager,satisfied,solutions design,Marshall Islands,UI/UX
126,Antonio Lloyd DDS,Yes,Non-binary,52,Yes,Undergraduate,No,Yes,1,Senior Manager,satisfied,solutions design,Romania,Pitch
54,Michael Robinson DDS,Yes,F,33,No,Prefer not to say,No,No,1,Manager,very dissatisfied,pm,Eritrea,Software Development
5,Jay Olson,Yes,M,51,No,PhD,Yes,No,4,Senior Associate,dissatisfied,sql,Nepal,Data Scientist
46,Christina Hill,Yes,M,57,Yes,Masters degree,Yes,No,9,Senior Associate,neutral,sql,Kyrgyz Republic,UI/UX
2,James Davis,Yes,M,58,Yes,Undergraduate,Yes,Yes,2,Senior Associate,dissatisfied,azure,Uruguay,Pitch
118,Michelle Shaw,Yes,M,40,Yes,Masters degree,No,No,1,Senior Manager,neutral,solutions design,Haiti,full stack developer
53,Jennifer Garrett,Yes,M,29,No,PhD,No,No,0,Junior,satisfied,.net,Malaysia,Software Development
15,Kevin Wilson,Yes,Non-binary,41,Yes,Undergraduate,No,No,5,Associate,neutral,.net,China,UI/UX
87,Robert Diaz,Yes,F,31,No,Masters degree,Yes,Yes,2,Junior,neutral,.net,Finland,full stack developer
137,Christopher Dunlap,Yes,Non-binary,55,No,Prefer not to say,Yes,Yes,8,Senior Manager,satisfied,azure,Azerbaijan,Pitch
11,Bruce Fowler,Yes,M,50,Yes,Undergraduate,No,Yes,0,Junior,dissatisfied,azure,Malta,full stack developer
134,Michael Thomas,Yes,M,40,Yes,Masters degree,No,No,3,Junior,neutral,azure,Jersey,Pitch
141,Matthew Hunt,Yes,M,32,No,PhD,Yes,Yes,9,Manager,neutral,pm,Bosnia and Herzegovina,Software Development
140,Erin Copeland,Yes,F,33,Yes,Masters degree,Yes,No,1,Senior Associate,very dissatisfied,sql,Moldova,Pitch
35,Chad Michael,Yes,F,40,Yes,Prefer not to say,No,No,3,Senior Associate,satisfied,azure,North Macedonia,UI/UX
124,Denise King,Yes,M,27,Yes,Masters degree,No,Yes,8,Associate,neutral,.net,Indonesia,Data Scientist
94,William Aguilar,Yes,Non-binary,46,No,Prefer not to say,No,Yes,0,Senior Associate,neutral,solutions design,Saint Lucia,Software Development
139,Brandy Campbell,Yes,M,38,Yes,PhD,Yes,Yes,7,Associate,very dissatisfied,python,Austria,UI/UX
53,Eric Lewis,Yes,F,45,Yes,PhD,Yes,No,3,Associate,very dissatisfied,azure,Slovenia,UI/UX
6,Jonathan Rocha,Yes,Non-binary,29,No,Undergraduate,No,Yes,8,Junior,very dissatisfied,azure,Uganda,Pitch
11,Jonathan Brewer,Yes,Non-binary,47,Yes,Undergraduate,No,Yes,2,Junior,satisfied,.net,Mayotte,UI/UX
29,Kyle Ray,Yes,Non-binary,31,No,Prefer not to say,Yes,Yes,9,Senior Associate,very dissatisfied,python,Belarus,Pitch
56,Benjamin Mooney,Yes,Non-binary,43,Yes,Undergraduate,Yes,Yes,8,Senior Associate,satisfied,solutions design,Taiwan,Data Scientist
38,Tyrone Spencer,Yes,F,56,Yes,Prefer not to say,No,No,7,Senior Manager,very dissatisfied,.net,Thailand,Pitch
145,James Huffman,Yes,Non-binary,37,No,Prefer not to say,Yes,Yes,4,Junior,very dissatisfied,python,Cape Verde,Software Development
133,Angela Davis,Yes,Non-binary,37,Yes,Undergraduate,Yes,Yes,6,Senior Associate,neutral,pm,Tonga,Data Scientist
136,Louis Rodriguez,Yes,Non-binary,37,Yes,Masters degree,No,Yes,0,Junior,very dissatisfied,solutions design,Albania,Pitch
47,Audrey Burnett,Yes,M,58,No,Undergraduate,Yes,No,4,Manager,dissatisfied,pm,Peru,Pitch
17,Brian Walker III,Yes,M,32,Yes,PhD,No,Yes,5,Senior Associate,very dissatisfied,javascript,Angola,UI/UX
63,Andrea Anderson,Yes,Non-binary,53,Yes,PhD,Yes,No,1,Senior Manager,very dissatisfied,sql,Syrian Arab Republic,Software Development
110,Brendan Mitchell,Yes,M,51,Yes,Undergraduate,Yes,Yes,2,Senior Associate,very dissatisfied,sql,Angola,UI/UX
23,Brittany Miller,Yes,F,52,Yes,Prefer not to say,Yes,Yes,3,Manager,very dissatisfied,python,Azerbaijan,Pitch
2,Alice Green,Yes,M,50,Yes,PhD,Yes,No,8,Associate,dissatisfied,python,Mozambique,full stack developer
122,Steven Wood,Yes,F,51,Yes,Masters degree,No,No,8,Junior,satisfied,javascript,Togo,UI/UX
138,Mary Stewart,Yes,Non-binary,33,No,Masters degree,No,No,8,Senior Manager,very dissatisfied,azure,Jersey,UI/UX
11,Brandon Smith,Yes,Non-binary,40,Yes,Prefer not to say,No,No,7,Manager,satisfied,azure,Nigeria,Pitch
1,Joe Rodriguez,Yes,Non-binary,29,Yes,PhD,Yes,Yes,1,Associate,satisfied,pm,Lesotho,Software Development
85,Dustin Walker,Yes,Non-binary,58,Yes,Undergraduate,No,No,0,Senior Associate,satisfied,solutions design,Rwanda,Data Scientist
41,David Johnson,Yes,Non-binary,55,No,Masters degree,No,Yes,2,Senior Associate,dissatisfied,solutions design,Cape Verde,full stack developer
14,Christopher Ball,Yes,F,43,No,Prefer not to say,Yes,Yes,4,Associate,neutral,.net,Wallis and Futuna,Data Scientist
63,John Garcia,Yes,M,29,No,Prefer not to say,Yes,No,4,Associate,neutral,sql,New Caledonia,UI/UX
81,Deborah Crawford,Yes,Non-binary,43,No,Undergraduate,No,No,7,Senior Manager,very dissatisfied,javascript,Saint Vincent and the Grenadines,Software Development
32,Timothy Sanchez,Yes,M,51,Yes,Undergraduate,No,Yes,2,Manager,dissatisfied,azure,Niue,Data Scientist
68,Rachel Graham,Yes,Non-binary,26,No,Prefer not to say,No,Yes,6,Associate,dissatisfied,python,South Georgia and the South Sandwich Islands,Software Development
51,Adrian Rogers,Yes,F,52,No,Undergraduate,No,Yes,3,Associate,neutral,sql,Uganda,full stack developer
129,Michael Perez,Yes,M,56,Yes,Undergraduate,No,Yes,5,Senior Manager,satisfied,azure,Myanmar,Data Scientist
131,Brandon Avila,Yes,F,45,Yes,Prefer not to say,No,Yes,6,Associate,very dissatisfied,.net,Guinea-Bissau,Pitch
18,Andrew Kennedy,Yes,Non-binary,43,No,Prefer not to say,No,No,7,Associate,satisfied,pm,Algeria,Pitch
99,Jeffrey Jones,Yes,F,55,No,PhD,Yes,No,1,Associate,satisfied,.net,Armenia,Data Scientist
127,Felicia Douglas,Yes,F,25,No,Undergraduate,No,No,3,Senior Associate,dissatisfied,.net,Turks and Caicos Islands,UI/UX
109,Cheryl Miller,Yes,Non-binary,57,No,Undergraduate,No,No,8,Junior,satisfied,pm,India,Pitch
66,Diane Nguyen,Yes,Non-binary,35,Yes,Prefer not to say,No,Yes,5,Manager,dissatisfied,javascript,Belgium,UI/UX
48,Brittany Kelley,Yes,F,35,No,PhD,No,No,0,Senior Manager,satisfied,azure,Bermuda,Pitch
129,Taylor Wiggins,Yes,M,30,No,Undergraduate,No,No,8,Senior Manager,neutral,.net,Sao Tome and Principe,Data Scientist
2,Mark Scott,Yes,Non-binary,34,Yes,Prefer not to say,No,No,0,Manager,neutral,python,Kuwait,Software Development
149,Darrell Cummings,Yes,M,32,Yes,PhD,No,Yes,4,Junior,very dissatisfied,sql,Yemen,UI/UX
140,Matthew Davis,Yes,Non-binary,31,No,Prefer not to say,No,No,4,Junior,very dissatisfied,solutions design,Martinique,Software Development
102,Cindy Sanchez,Yes,F,53,Yes,Masters degree,Yes,Yes,8,Senior Associate,satisfied,python,Morocco,full stack developer
121,Mark Powers,Yes,F,53,Yes,Prefer not to say,No,Yes,4,Senior Manager,very dissatisfied,javascript,Uruguay,Pitch
141,Breanna Becker,Yes,F,38,No,Masters degree,Yes,Yes,0,Senior Associate,very dissatisfied,azure,Uganda,UI/UX
26,Roy Arnold,Yes,F,48,No,PhD,Yes,Yes,2,Associate,satisfied,.net,Tuvalu,UI/UX
32,Mark Tran,Yes,F,58,Yes,Prefer not to say,No,No,6,Associate,dissatisfied,azure,Samoa,full stack developer
50,Christopher Solis,Yes,M,39,Yes,Masters degree,No,Yes,8,Senior Associate,satisfied,python,Sierra Leone,UI/UX
108,Amanda Campbell,Yes,F,33,Yes,PhD,Yes,No,9,Manager,dissatisfied,azure,Turks and Caicos Islands,Pitch
140,Christopher Lawson,Yes,M,59,Yes,Undergraduate,Yes,No,2,Manager,dissatisfied,solutions design,Botswana,UI/UX
42,Taylor Price,Yes,F,29,No,Prefer not to say,Yes,Yes,2,Junior,satisfied,sql,Denmark,Data Scientist
149,Mitchell Reyes,Yes,Non-binary,46,Yes,Undergraduate,Yes,Yes,9,Senior Manager,very dissatisfied,azure,Jordan,Data Scientist
97,Amanda Jackson,Yes,F,54,Yes,Undergraduate,No,Yes,1,Manager,very dissatisfied,sql,Belarus,Software Development
79,Anthony Lozano,Yes,M,49,No,PhD,Yes,Yes,6,Associate,dissatisfied,sql,Dominica,UI/UX
44,Michael Flores,Yes,F,44,No,Masters degree,Yes,Yes,4,Associate,satisfied,python,Benin,Data Scientist
66,Angela Mayer,Yes,M,27,No,Undergraduate,Yes,No,5,Associate,very dissatisfied,javascript,Australia,Data Scientist
22,Jeremiah Cuevas,Yes,F,47,Yes,Masters degree,No,Yes,5,Associate,dissatisfied,solutions design,Comoros,Software Development
133,Stephen Hall,Yes,M,29,No,Prefer not to say,No,No,0,Associate,satisfied,azure,Netherlands Antilles,Data Scientist
64,Taylor Mcfarland,Yes,F,56,No,Prefer not to say,No,No,9,Junior,neutral,javascript,Equatorial Guinea,Pitch
36,Rachel Richards,Yes,Non-binary,39,No,Undergraduate,Yes,No,7,Senior Manager,dissatisfied,solutions design,Bahamas,Software Development
111,Michael Harvey,Yes,Non-binary,45,No,PhD,Yes,Yes,3,Associate,very dissatisfied,python,Tokelau,Pitch
127,Sarah Walker,Yes,Non-binary,27,No,PhD,No,Yes,2,Junior,very dissatisfied,javascript,Saint Lucia,Software Development
3,Daniel Blevins,Yes,F,25,No,Masters degree,No,Yes,8,Associate,satisfied,sql,Isle of Man,Data Scientist
31,Vincent Alvarez,Yes,M,47,No,Undergraduate,No,Yes,3,Manager,very dissatisfied,solutions design,Kuwait,Data Scientist
150,Samantha Phillips,Yes,Non-binary,43,No,Undergraduate,Yes,Yes,4,Junior,satisfied,.net,Cameroon,full stack developer
131,Denise Smith,Yes,Non-binary,52,No,PhD,No,Yes,9,Junior,dissatisfied,python,United Kingdom,Pitch
21,Monica Kirby,Yes,M,50,Yes,Prefer not to say,Yes,Yes,2,Junior,neutral,azure,Panama,Data Scientist
69,Carlos Smith,Yes,F,42,Yes,PhD,No,No,0,Associate,very dissatisfied,sql,British Indian Ocean Territory (Chagos Archipelago),Data Scientist
136,Philip Lawson,Yes,Non-binary,30,Yes,Undergraduate,No,Yes,6,Associate,very dissatisfied,.net,United Arab Emirates,Data Scientist
125,Lacey Miller,Yes,M,48,Yes,Prefer not to say,Yes,No,4,Senior Associate,very dissatisfied,azure,Trinidad and Tobago,Software Development
29,Michelle Hernandez,Yes,Non-binary,27,Yes,Masters degree,No,No,5,Senior Manager,dissatisfied,pm,Micronesia,full stack developer
87,Patrick Phillips,Yes,Non-binary,52,No,Masters degree,Yes,No,6,Senior Associate,dissatisfied,javascript,Mozambique,Pitch
48,Cristian Davis,Yes,M,51,Yes,Prefer not to say,No,Yes,2,Junior,satisfied,python,Iran,Software Development
55,Kaitlin Garcia,Yes,Non-binary,27,No,Masters degree,Yes,Yes,9,Associate,very dissatisfied,.net,Mexico,Pitch
3,David Mcclure,Yes,M,41,Yes,Masters degree,Yes,No,2,Senior Associate,dissatisfied,azure,Montenegro,Software Development
150,Rebecca Pratt,Yes,M,31,No,Masters degree,No,Yes,2,Senior Manager,very dissatisfied,python,Venezuela,UI/UX
100,John Dudley,Yes,Non-binary,32,Yes,Prefer not to say,Yes,Yes,5,Associate,very dissatisfied,python,Libyan Arab Jamahiriya,Software Development
77,Tamara Henderson,Yes,Non-binary,57,Yes,Prefer not to say,No,Yes,6,Junior,dissatisfied,python,Faroe Islands,Pitch
142,Kathryn Walker,Yes,M,36,No,Prefer not to say,No,No,7,Senior Associate,very dissatisfied,.net,Ethiopia,full stack developer
70,Carlos Mullen,Yes,Non-binary,50,Yes,Prefer not to say,Yes,No,1,Manager,dissatisfied,solutions design,Mayotte,UI/UX
120,Allison Mercer,Yes,Non-binary,30,Yes,PhD,No,Yes,5,Manager,dissatisfied,javascript,Haiti,Software Development
95,William Coleman,Yes,Non-binary,53,Yes,Prefer not to say,Yes,No,4,Associate,satisfied,.net,Macao,Software Development
123,Amber Jensen,Yes,F,57,No,Prefer not to say,No,No,5,Senior Associate,very dissatisfied,pm,Madagascar,UI/UX
50,Maria White,Yes,Non-binary,26,No,Prefer not to say,Yes,No,3,Associate,satisfied,azure,Gabon,Data Scientist
64,Robert Mccoy,Yes,M,52,No,Prefer not to say,Yes,Yes,0,Senior Manager,very dissatisfied,.net,Saint Helena,UI/UX
40,Sydney Martin,Yes,M,32,No,Prefer not to say,No,No,4,Senior Manager,dissatisfied,.net,Myanmar,Software Development
42,Shawn Patterson,Yes,F,33,Yes,PhD,No,Yes,0,Manager,neutral,pm,Malta,Pitch
103,Mr. Michael Williams,Yes,F,38,Yes,Undergraduate,Yes,No,6,Senior Manager,neutral,azure,Yemen,Pitch
116,Erika Peterson,Yes,M,34,No,Prefer not to say,No,Yes,6,Senior Manager,very dissatisfied,solutions design,Equatorial Guinea,full stack developer
15,Heather Myers,Yes,Non-binary,34,Yes,PhD,No,Yes,2,Associate,neutral,solutions design,Cape Verde,full stack developer
2,Duane Davis,Yes,F,44,Yes,PhD,No,Yes,4,Senior Associate,satisfied,python,Botswana,full stack developer
57,Stephanie Williams,Yes,F,46,No,Masters degree,Yes,No,7,Senior Associate,very dissatisfied,.net,El Salvador,full stack developer
99,Jason Brooks,Yes,Non-binary,41,No,Masters degree,Yes,Yes,1,Junior,dissatisfied,sql,Sweden,Data Scientist
84,Jose Nelson,Yes,M,57,Yes,Prefer not to say,Yes,Yes,7,Manager,neutral,azure,Sao Tome and Principe,Software Development
32,Suzanne Moran,Yes,F,50,No,Undergraduate,Yes,Yes,0,Junior,dissatisfied,javascript,Burundi,Data Scientist
123,Michael Garcia,Yes,F,27,No,Prefer not to say,Yes,Yes,5,Junior,dissatisfied,.net,Ukraine,Pitch
142,Bryan Holt,Yes,M,53,No,Masters degree,No,Yes,6,Manager,very dissatisfied,azure,Guadeloupe,UI/UX
136,Paula Perez,Yes,F,34,No,PhD,No,No,8,Junior,satisfied,javascript,Guam,UI/UX
4,Adriana Garcia,Yes,M,54,Yes,Prefer not to say,No,No,9,Senior Associate,satisfied,javascript,Canada,Software Development
100,Sonya Miles,Yes,Non-binary,53,Yes,PhD,No,No,8,Senior Associate,dissatisfied,python,Nicaragua,Data Scientist
133,Luis Price,Yes,Non-binary,26,Yes,Undergraduate,No,No,4,Senior Manager,very dissatisfied,solutions design,Wallis and Futuna,Data Scientist
51,Jessica Davies,Yes,Non-binary,41,Yes,PhD,No,No,4,Manager,very dissatisfied,.net,Iceland,Software Development
97,Linda Hill,Yes,Non-binary,30,Yes,Prefer not to say,No,Yes,3,Junior,satisfied,javascript,Latvia,full stack developer
82,Kelly Ramirez,Yes,F,49,Yes,Masters degree,Yes,Yes,0,Junior,neutral,azure,South Africa,Pitch
121,Lauren Snyder,Yes,M,33,Yes,PhD,No,No,5,Junior,satisfied,solutions design,Sudan,Software Development
138,Hannah Reed,Yes,F,34,Yes,Masters degree,No,Yes,1,Senior Manager,neutral,azure,Haiti,Software Development
135,Angela Taylor,Yes,Non-binary,38,No,Masters degree,No,Yes,8,Manager,very dissatisfied,javascript,Romania,Pitch
26,Mark Hinton,Yes,Non-binary,29,No,PhD,No,No,0,Senior Associate,neutral,sql,Egypt,Data Scientist
76,Monica Wood DDS,Yes,M,49,Yes,Undergraduate,No,Yes,4,Associate,dissatisfied,python,Latvia,Software Development
98,Brittany Morales,Yes,Non-binary,48,Yes,PhD,Yes,Yes,1,Junior,dissatisfied,sql,Cuba,full stack developer
33,Stephanie Young,Yes,M,40,No,Undergraduate,No,Yes,4,Associate,satisfied,sql,Niger,Data Scientist
6,Jonathan Schultz,Yes,F,55,No,Masters degree,No,No,0,Associate,neutral,azure,Tokelau,Software Development
143,Abigail Jones,Yes,F,29,No,PhD,No,No,4,Senior Associate,very dissatisfied,solutions design,Luxembourg,UI/UX
26,Kevin Chen,Yes,M,33,Yes,Masters degree,Yes,No,5,Junior,satisfied,python,Armenia,UI/UX
26,Phillip Mahoney,Yes,M,32,Yes,Masters degree,Yes,No,6,Senior Associate,very dissatisfied,azure,Netherlands Antilles,full stack developer
75,Terri Anderson,Yes,F,58,No,PhD,No,No,4,Senior Manager,dissatisfied,solutions design,Sudan,Pitch
45,Juan Olson,Yes,M,42,No,Masters degree,Yes,No,3,Senior Manager,very dissatisfied,sql,Palestinian Territory,full stack developer
106,Sabrina Park,Yes,M,54,Yes,Masters degree,Yes,No,6,Associate,very dissatisfied,.net,Portugal,full stack developer
72,Sherry Johnson,Yes,M,55,No,Prefer not to say,Yes,No,1,Manager,very dissatisfied,azure,Switzerland,Data Scientist
64,Stephanie Yates,Yes,M,42,Yes,Undergraduate,Yes,Yes,7,Manager,neutral,pm,Guadeloupe,full stack developer
40,Joshua Murphy,Yes,F,52,No,Masters degree,Yes,Yes,5,Junior,very dissatisfied,solutions design,Kazakhstan,Data Scientist
19,Frank Morales,Yes,M,26,Yes,Prefer not to say,Yes,Yes,6,Senior Associate,dissatisfied,azure,Syrian Arab Republic,UI/UX
30,Sara Terrell,Yes,Non-binary,29,Yes,PhD,No,No,7,Junior,neutral,.net,Tunisia,Data Scientist
8,Stephen Lambert,Yes,F,43,Yes,Masters degree,Yes,No,2,Manager,dissatisfied,.net,Antarctica (the territory South of 60 deg S),UI/UX
80,Christopher Davis,Yes,M,53,Yes,PhD,No,No,1,Manager,neutral,sql,Micronesia,full stack developer
35,Donald Lynch,Yes,M,41,Yes,Masters degree,No,Yes,8,Associate,very dissatisfied,.net,Vanuatu,full stack developer
113,Jeffrey Crosby,Yes,F,31,No,PhD,Yes,No,8,Senior Associate,neutral,solutions design,Mexico,full stack developer
6,Katelyn Harding,Yes,Non-binary,31,No,Masters degree,No,No,6,Senior Associate,satisfied,python,Denmark,Pitch
106,Jessica Wiggins,Yes,M,47,No,Prefer not to say,Yes,Yes,6,Senior Manager,dissatisfied,sql,Saint Lucia,UI/UX
143,Thomas Holmes,Yes,M,59,Yes,Masters degree,Yes,No,7,Associate,dissatisfied,azure,Philippines,Data Scientist
116,Susan Edwards,Yes,M,56,Yes,Prefer not to say,No,No,0,Senior Associate,satisfied,sql,Saint Helena,UI/UX
55,Justin Ruiz,Yes,Non-binary,44,Yes,Undergraduate,Yes,Yes,2,Senior Associate,very dissatisfied,azure,Andorra,UI/UX
27,Victoria Wood,Yes,M,50,Yes,Prefer not to say,Yes,No,8,Junior,dissatisfied,sql,Antigua and Barbuda,full stack developer
57,Victor Brown,Yes,Non-binary,43,Yes,Prefer not to say,Yes,Yes,5,Junior,satisfied,.net,Bulgaria,Software Development
55,Felicia Moore,Yes,Non-binary,51,No,Prefer not to say,Yes,No,2,Associate,very dissatisfied,javascript,Uruguay,Pitch
124,Richard Cruz,Yes,Non-binary,32,Yes,PhD,No,Yes,9,Associate,satisfied,python,Mauritania,Pitch
79,Kimberly Vasquez,Yes,M,29,Yes,Undergraduate,Yes,No,8,Manager,satisfied,python,Senegal,Software Development
61,Christopher West,Yes,F,29,Yes,Undergraduate,Yes,No,6,Senior Associate,very dissatisfied,azure,Wallis and Futuna,Software Development
133,Andrew Herrera DDS,Yes,Non-binary,47,Yes,Masters degree,No,No,2,Junior,dissatisfied,javascript,French Southern Territories,UI/UX
78,Leslie Johnson,Yes,F,39,Yes,Undergraduate,Yes,Yes,5,Senior Associate,satisfied,javascript,Netherlands Antilles,Software Development
10,Christina Bailey,Yes,M,48,Yes,PhD,No,Yes,1,Associate,satisfied,solutions design,Poland,full stack developer
91,Scott Daniels,Yes,M,49,Yes,Masters degree,No,No,0,Senior Associate,dissatisfied,pm,Afghanistan,Software Development
143,Steven Gomez,Yes,F,33,No,PhD,No,Yes,9,Manager,satisfied,sql,Azerbaijan,Pitch
22,Matthew Padilla,Yes,M,27,Yes,Masters degree,No,Yes,0,Associate,neutral,javascript,Belize,Pitch
90,Ashley Gonzalez,Yes,F,59,Yes,Undergraduate,Yes,Yes,1,Manager,very dissatisfied,pm,Somalia,Pitch
75,Kaitlyn Fernandez,Yes,M,28,No,Undergraduate,No,Yes,0,Associate,very dissatisfied,pm,Nigeria,Pitch
16,Jonathan Bowen,Yes,M,36,Yes,PhD,No,Yes,3,Associate,satisfied,javascript,Bangladesh,full stack developer
125,Jonathan Chavez,Yes,Non-binary,47,No,Undergraduate,Yes,Yes,7,Senior Manager,satisfied,python,Sierra Leone,Pitch
111,Melissa Martinez,Yes,F,32,No,Masters degree,Yes,No,2,Manager,satisfied,pm,Greece,UI/UX
77,Cathy Jones,Yes,M,45,No,PhD,No,No,5,Senior Manager,neutral,python,Reunion,full stack developer
